id,type,name,WikiLabel,Wikidata Id,Levenshtein Distance,
133614910,way,Arenberg,Arenberg,Q15872666,0,
1931417601,node,Dôme,Dôme,Q2337930,0,
727496898,node,Nuance,Nuance,Q2355180,0,
2696834375,node,The Jane,The Jane,Q22980627,0,
2713721666,node,Clou,Clou,Q22998656,0,
1852011660,node,Kadeau Bornholm,Kadeau Bornholm,Q22980120,0,
2713759585,node,Kadeau København,Kadeau København,Q23010103,0,
624518502,node,Kiin Kiin,Kiin Kiin,Q22983542,0,
2713744916,node,Marchal,Marchal,Q23010101,0,
279691266,node,Noma,Noma,Q48592,0,
2601269021,node,Studio,Studio,Q23013754,0,
4119844241,node,Substans,Substans,Q22988335,0,
2387678738,node,L'Ambroisie,L'Ambroisie,Q6455533,0,
913936511,node,L'Arpège,L'Arpège,Q6455598,0,
255060753,node,L'Astrance,L'Astrance,Q6455614,0,
1291119341,node,Le Chateaubriand,Le Chateaubriand,Q6506699,0,
97577846,way,Maison Pic,Maison Pic,Q6737046,0,
338920695,node,Tantris,Tantris,Q876820,0,
1752476235,node,Bon Appétit,Bon Appétit,Q2185528,0,
1540695226,node,Campagne,Campagne,Q15207004,0,
576111231,node,L'Ecrivain,L'Ecrivain,Q6455655,0,
231245954,way,Restaurant Patrick Guilbaud,Restaurant Patrick Guilbaud,Q2536736,0,
2361952103,node,Enoteca Pinchiorri,Enoteca Pinchiorri,Q1405579,0,
1547765174,node,Osteria Francescana,Osteria Francescana,Q2419971,0,
55164849,way,Aan de Poel,Aan de Poel,Q2460503,0,
894553837,node,Auguste,Auguste,Q18654980,0,
2822703678,node,Beluga,Beluga,Q1949989,0,
4402353006,node,Blok's Restaurant,Blok's Restaurant,Q21091929,0,
2795530710,node,Brienen aan de Maas,Brienen aan de Maas,Q4967051,0,
3741469446,node,Calla's,Calla's,Q13448839,0,
4162314589,node,Ciel Bleu,Ciel Bleu,Q5119566,0,
737990026,node,Corona,Corona,Q5172117,0,
83313475,node,De Beukenhof,De Beukenhof,Q5244251,0,
271056651,way,De Bokkedoorns,De Bokkedoorns,Q3462152,0,
2338484627,node,De Bokkepruik,De Bokkepruik,Q5244262,0,
1714978683,node,De Echoput,De Echoput,Q2026348,0,
2757271006,node,De Fuik,De Fuik,Q5244366,0,
2627284816,node,De Gieser Wildeman,De Gieser Wildeman,Q15213226,0,
277414551,way,De Groene Lantaarn,De Groene Lantaarn,Q2118637,0,
2774758051,node,De Karpendonkse Hoeve,De Karpendonkse Hoeve,Q5244465,0,
45345559,node,De Kieviet,De Kieviet,Q1918775,0,
3332776408,node,De Kromme Watergang,De Kromme Watergang,Q2304666,0,
292384925,node,De Leuf,De Leuf,Q2445128,0,
1333931642,node,De Librije,De Librije,Q2173549,0,
